Age,Gender,Annual_Income,Occupation,Credit_Score,Family_Size,Car_Ownership,House_Ownership,Education,Marital_Status,Distance_to_Work,Monthly_Expenses,Savings,Preferred_Car_Type,Purchased
51,Female,88916,Doctor,730,3,Yes,Own,Bachelor,Single,15,4935,30455,SUV,1
27,Male,28711,Student,799,6,No,Own,High School,Single,49,2415,39735,SUV,1
53,Male,94318,Student,408,3,Yes,Own,Bachelor,Married,33,4763,95702,SUV,1
31,Male,102970,Business,577,1,Yes,Rent,Bachelor,Married,25,1056,94608,Hatchback,1
48,Male,132301,Engineer,367,5,No,Own,High School,Married,21,604,13109,Hatchback,1
32,Male,105553,Teacher,368,3,Yes,Rent,Bachelor,Single,17,2547,46802,Sedan,1
25,Male,50707,Engineer,464,2,No,Rent,High School,Married,23,645,69020,SUV,0
31,Male,59110,Business,788,6,No,Rent,PhD,Married,43,3263,35622,Sedan,1
40,Male,149410,Teacher,604,6,Yes,Own,Bachelor,Married,17,1373,3597,Sedan,1
57,Male,81788,Student,664,4,No,Rent,High School,Married,14,798,41597,Truck,1
38,Male,102879,Business,678,2,Yes,Own,Master,Single,29,3738,41954,Truck,1
33,Female,58827,Student,642,4,Yes,Own,Bachelor,Single,20,1145,70519,SUV,1
62,Female,127188,Doctor,653,3,Yes,Own,PhD,Married,30,3578,57115,Hatchback,1
35,Male,25655,Manager,715,1,Yes,Rent,High School,Single,19,3011,44151,Truck,1
64,Female,64859,Business,408,2,Yes,Rent,Bachelor,Single,39,1283,18040,Hatchback,0
41,Female,73625,Doctor,796,2,Yes,Rent,Bachelor,Single,13,870,45772,Sedan,1
43,Male,72098,Business,640,2,Yes,Own,Bachelor,Married,18,986,97090,Sedan,1
42,Male,35251,Business,682,4,Yes,Rent,PhD,Single,23,2537,64832,Sedan,1
62,Male,142413,Doctor,832,3,No,Rent,High School,Single,46,3696,28916,Sedan,1
58,Female,20526,Teacher,599,2,No,Rent,Master,Single,33,1860,45871,SUV,0
46,Female,88760,Engineer,438,2,Yes,Rent,Master,Married,39,4787,27372,Sedan,1
32,Male,67837,Student,658,6,No,Rent,Master,Married,40,2761,62707,Truck,1
62,Male,145133,Business,798,1,No,Own,High School,Single,18,3121,40080,Sedan,1
18,Male,149478,Student,684,6,No,Own,Master,Single,9,1456,43722,Hatchback,1
42,Female,31536,Manager,579,6,No,Own,PhD,Married,33,880,30048,Truck,1
24,Female,48541,Doctor,782,1,No,Own,High School,Married,32,4149,86205,Hatchback,1
26,Female,99083,Student,410,3,No,Rent,Bachelor,Single,17,738,10777,Hatchback,0
41,Female,71027,Doctor,438,6,Yes,Own,PhD,Single,19,1605,55711,SUV,1
18,Male,54531,Student,734,3,No,Rent,Bachelor,Married,27,1886,37331,SUV,1
61,Male,28712,Engineer,808,6,No,Own,Master,Married,6,3052,21968,Hatchback,1
25,Male,124101,Engineer,572,5,No,Own,PhD,Single,35,2749,54969,Hatchback,1
41,Male,85455,Engineer,398,1,No,Own,High School,Married,37,2027,12292,Sedan,1
28,Female,94744,Engineer,403,6,Yes,Rent,PhD,Single,34,2167,41794,Truck,1
34,Female,141787,Engineer,513,5,Yes,Rent,Bachelor,Single,20,4632,80459,Sedan,1
25,Male,149749,Engineer,464,4,Yes,Own,High School,Single,25,3191,51192,SUV,1
52,Male,25109,Doctor,819,5,Yes,Rent,PhD,Married,4,4172,28703,SUV,1
52,Female,141332,Business,583,2,No,Own,PhD,Single,10,2496,85193,Sedan,1
50,Male,69268,Student,816,6,Yes,Own,PhD,Single,10,1925,70165,Truck,1
22,Female,120737,Engineer,463,5,Yes,Own,PhD,Married,24,3312,68650,Hatchback,1
59,Male,74615,Doctor,363,3,Yes,Rent,High School,Married,21,3747,57516,Sedan,1
56,Male,102503,Doctor,390,4,Yes,Own,Bachelor,Single,11,3092,92110,SUV,1
58,Male,143274,Doctor,416,6,No,Own,PhD,Single,27,1990,98885,Truck,1
45,Male,49759,Business,566,2,Yes,Own,High School,Married,16,1724,23257,SUV,1
24,Male,105708,Student,439,5,No,Rent,Bachelor,Married,26,3087,84509,Truck,0
26,Male,80112,Business,545,4,Yes,Own,PhD,Married,30,3564,92273,Truck,1
25,Male,122471,Teacher,694,6,No,Rent,Bachelor,Single,49,1332,52672,Truck,1
29,Female,146740,Doctor,786,4,No,Own,Bachelor,Single,16,2940,64308,Sedan,1
51,Female,143153,Teacher,775,2,Yes,Rent,High School,Single,7,2146,78583,Sedan,1
50,Female,46589,Manager,816,5,Yes,Own,Bachelor,Married,16,940,23113,Sedan,1
40,Female,50015,Engineer,483,4,Yes,Own,High School,Single,35,2029,1694,Truck,0
41,Female,49009,Engineer,319,4,Yes,Rent,PhD,Married,16,3465,16588,Truck,0
54,Male,103309,Business,823,1,No,Rent,Bachelor,Single,40,2867,62756,SUV,1
52,Male,146446,Student,828,4,No,Own,Bachelor,Married,12,3786,65085,Hatchback,1
61,Female,82046,Teacher,446,1,Yes,Rent,Master,Single,35,4831,62142,Sedan,1
57,Male,126661,Student,603,5,Yes,Own,PhD,Single,49,1804,65373,Truck,1
39,Female,46143,Business,527,6,No,Own,PhD,Married,21,3534,86603,SUV,0
44,Female,26154,Engineer,401,6,Yes,Own,Master,Married,43,4188,7704,SUV,0
52,Male,41804,Student,716,5,No,Rent,Master,Single,36,4473,41136,SUV,1
18,Male,61688,Student,515,5,Yes,Own,High School,Married,48,1685,68507,Sedan,0
52,Male,84288,Engineer,706,3,No,Rent,High School,Married,17,3762,48361,Sedan,1
54,Female,71195,Teacher,698,5,No,Own,Bachelor,Single,32,2607,59847,Hatchback,1
64,Male,40581,Engineer,798,4,No,Rent,Bachelor,Married,41,2340,12441,SUV,0
31,Female,72648,Student,764,6,No,Rent,Bachelor,Single,6,4820,98012,Sedan,1
20,Female,50087,Teacher,381,2,No,Own,Bachelor,Single,24,3247,15677,SUV,0
18,Female,69930,Teacher,664,6,Yes,Rent,High School,Married,27,4764,28818,Truck,0
22,Male,52981,Engineer,462,1,No,Own,PhD,Married,20,3633,2868,SUV,0
43,Male,89298,Student,347,6,Yes,Own,Bachelor,Single,25,3920,84591,Hatchback,1
31,Female,66167,Business,810,3,No,Own,PhD,Single,2,1965,68264,Sedan,1
56,Male,95304,Student,628,5,No,Own,Bachelor,Single,9,4609,74168,Truck,1
44,Male,63408,Doctor,415,5,Yes,Own,Master,Single,28,2711,13043,Sedan,0
26,Male,59499,Manager,636,6,Yes,Rent,Bachelor,Single,38,3304,72939,Truck,0
32,Female,145816,Business,446,2,Yes,Own,Bachelor,Single,3,2043,16732,SUV,1
32,Female,72269,Teacher,622,2,Yes,Rent,Bachelor,Married,20,2189,56244,SUV,1
43,Male,58559,Business,742,3,No,Rent,High School,Married,6,2071,19526,Hatchback,0
59,Female,134126,Teacher,312,1,Yes,Own,Master,Married,39,3779,10340,Hatchback,0
30,Male,94319,Teacher,793,6,No,Rent,Bachelor,Single,33,4041,23394,Truck,1
49,Male,131925,Business,586,5,Yes,Own,Bachelor,Married,1,3523,99557,Hatchback,1
56,Male,115317,Teacher,413,6,Yes,Rent,PhD,Single,37,1318,5102,Hatchback,0
49,Male,116347,Teacher,779,3,No,Rent,Master,Single,6,1624,20159,Hatchback,1
21,Female,68787,Doctor,321,4,No,Rent,Bachelor,Married,45,1629,66092,Hatchback,0
47,Female,55488,Student,648,4,Yes,Own,PhD,Single,34,2202,7212,SUV,0
54,Female,94441,Student,619,3,No,Rent,PhD,Single,47,2501,98360,Hatchback,1
40,Male,94663,Manager,425,5,No,Own,High School,Single,15,4378,38405,SUV,1
56,Male,42431,Manager,576,3,No,Rent,PhD,Single,45,4872,78061,SUV,0
62,Male,81681,Doctor,503,5,No,Rent,Bachelor,Single,26,2306,95296,Sedan,1
32,Female,83483,Manager,493,2,No,Rent,High School,Single,14,3447,56186,SUV,1
60,Male,142720,Business,846,3,No,Rent,High School,Married,7,3709,45239,SUV,1
46,Female,69153,Engineer,585,5,No,Own,Bachelor,Single,46,2652,93993,Hatchback,1
53,Female,26368,Engineer,356,3,No,Own,Master,Single,31,4705,11532,SUV,0
30,Female,47424,Engineer,602,3,Yes,Rent,PhD,Single,24,1044,80054,Truck,0
49,Female,132360,Doctor,462,5,No,Rent,High School,Single,31,2901,73012,Hatchback,1
24,Female,65004,Doctor,318,5,Yes,Own,Master,Married,29,2864,86279,Hatchback,0
39,Female,103869,Teacher,669,1,No,Own,Bachelor,Married,42,1789,67540,Hatchback,1
45,Male,108652,Engineer,563,3,No,Own,PhD,Single,32,4265,4271,Sedan,0
19,Male,132755,Business,412,4,No,Own,PhD,Single,17,2375,46482,Hatchback,1
59,Female,76985,Manager,787,3,No,Rent,High School,Single,14,4928,1209,SUV,1
62,Female,70069,Business,626,3,Yes,Rent,PhD,Married,40,1282,91999,Truck,1
23,Male,72326,Manager,841,5,Yes,Own,PhD,Married,36,1039,6539,Hatchback,1
45,Female,128737,Engineer,364,3,No,Own,PhD,Married,48,3282,20977,Hatchback,1
45,Female,101061,Engineer,591,6,Yes,Own,PhD,Married,24,3168,75142,Truck,1
61,Male,43398,Engineer,324,3,No,Own,Bachelor,Single,45,4437,69684,Hatchback,0
61,Female,118393,Doctor,848,6,No,Own,Master,Married,27,3456,6607,Sedan,1
37,Female,70861,Manager,300,4,Yes,Own,Bachelor,Married,25,4222,86122,SUV,1
47,Female,95897,Doctor,848,5,Yes,Rent,Bachelor,Single,32,4367,95786,Truck,1
28,Male,101905,Doctor,440,3,No,Rent,High School,Single,18,2333,52939,Truck,1
45,Male,147118,Student,487,6,No,Rent,PhD,Married,46,2646,19594,Sedan,0
42,Male,88577,Business,427,6,Yes,Own,Bachelor,Married,18,2670,59382,SUV,1
56,Female,85641,Business,500,6,No,Own,PhD,Married,37,3891,8399,Sedan,0
50,Female,29078,Teacher,426,2,Yes,Own,Bachelor,Married,26,2116,26117,SUV,1
18,Male,45003,Doctor,556,1,No,Rent,Bachelor,Single,9,1416,99662,Sedan,0
44,Female,82768,Manager,846,4,No,Own,High School,Single,35,3256,34617,Hatchback,1
30,Female,71047,Student,493,3,Yes,Own,Master,Married,8,2436,8498,Sedan,1
58,Female,91626,Student,403,2,Yes,Rent,Master,Married,20,4542,51624,Truck,1
20,Female,77660,Business,834,3,Yes,Own,Bachelor,Married,42,3591,10628,Truck,1
56,Female,124386,Doctor,564,3,No,Rent,High School,Married,22,1468,1329,Truck,0
23,Male,69786,Teacher,683,5,No,Rent,PhD,Married,19,3864,39619,Sedan,0
25,Female,21925,Doctor,559,5,No,Own,PhD,Single,30,3703,8032,Truck,0
44,Male,103976,Engineer,713,5,No,Rent,Bachelor,Single,28,1389,49094,Truck,1
26,Female,125221,Doctor,657,2,Yes,Own,Master,Single,35,1292,39034,Hatchback,1
54,Male,137832,Engineer,374,3,No,Rent,High School,Married,43,3958,87158,Hatchback,1
50,Female,145150,Engineer,654,1,No,Own,Master,Married,11,1481,56264,SUV,1
59,Male,46015,Teacher,487,4,No,Rent,PhD,Single,31,4031,95120,SUV,0
61,Female,53320,Manager,589,5,Yes,Own,Master,Single,49,4029,48850,SUV,0
41,Male,84881,Business,344,5,No,Rent,PhD,Married,48,1301,5722,Sedan,0
32,Female,110827,Doctor,382,3,No,Rent,High School,Single,39,542,18772,SUV,0
49,Male,140071,Engineer,422,3,Yes,Rent,High School,Married,36,3849,87105,Sedan,1
49,Female,122215,Doctor,657,2,No,Own,Bachelor,Married,30,2277,42679,Sedan,1
41,Male,46289,Manager,827,2,No,Own,Bachelor,Single,23,3701,69771,SUV,1
58,Male,148859,Business,365,5,Yes,Rent,Master,Single,19,849,5576,SUV,0
29,Female,23389,Manager,674,3,No,Own,High School,Single,12,2067,27707,Sedan,1
56,Female,45683,Business,461,1,No,Rent,High School,Married,15,1629,42632,Hatchback,0
19,Male,33629,Student,679,4,No,Own,Bachelor,Married,31,3459,42476,Truck,1
20,Female,81550,Business,657,3,Yes,Rent,PhD,Single,43,4287,31285,Truck,1
54,Male,44826,Teacher,487,3,No,Own,Master,Married,37,2280,25154,Truck,1
34,Male,120734,Manager,621,6,No,Rent,Master,Married,37,1083,21054,Hatchback,1
19,Male,46630,Engineer,749,2,Yes,Rent,Bachelor,Married,15,3877,18165,Sedan,0
19,Female,118762,Student,773,4,Yes,Rent,High School,Single,29,3901,15439,SUV,0
45,Male,66163,Teacher,312,5,No,Rent,Bachelor,Married,43,3685,45518,Sedan,0
40,Male,118511,Doctor,483,3,No,Own,Bachelor,Single,26,2694,89051,Sedan,1
54,Female,86435,Manager,410,5,No,Rent,Bachelor,Single,44,1662,27962,SUV,1
49,Female,31653,Engineer,807,3,No,Own,Bachelor,Married,2,798,54934,Hatchback,1
50,Female,47961,Business,589,5,Yes,Own,PhD,Single,20,3847,38763,Truck,0
18,Female,101941,Engineer,594,4,No,Rent,PhD,Married,15,2439,65094,Truck,1
36,Male,94137,Doctor,750,2,Yes,Own,High School,Single,4,1288,20464,Sedan,1
19,Male,53662,Student,514,4,Yes,Own,Bachelor,Single,22,3389,43036,Hatchback,0
61,Male,118818,Student,326,6,No,Own,PhD,Married,38,1877,96949,Truck,1
43,Male,76446,Manager,530,1,No,Rent,High School,Single,23,2449,34270,Hatchback,1
49,Female,41288,Student,620,2,Yes,Own,Bachelor,Single,26,3772,43299,SUV,0
23,Male,142555,Manager,532,4,Yes,Own,Master,Single,11,1377,86805,Sedan,1
49,Male,115081,Manager,736,6,No,Rent,PhD,Married,28,4242,32541,Sedan,1
21,Female,56877,Manager,832,1,Yes,Rent,High School,Married,2,2077,74545,Hatchback,1
28,Male,131562,Business,702,6,No,Own,Master,Single,8,3639,83543,Truck,1
34,Male,35313,Teacher,352,3,No,Rent,Bachelor,Single,29,2992,92998,Hatchback,0
55,Male,100885,Manager,612,3,Yes,Own,Bachelor,Single,11,3255,78078,SUV,1
41,Male,92715,Manager,580,5,Yes,Own,Bachelor,Married,37,2403,83970,Truck,1
22,Male,30326,Teacher,330,2,No,Own,PhD,Married,18,1882,30765,Truck,0
51,Male,130091,Engineer,636,3,Yes,Rent,High School,Single,14,4740,24769,Hatchback,1
23,Female,145836,Manager,482,6,No,Own,Master,Married,10,2822,89001,SUV,1
39,Female,21560,Business,322,2,No,Rent,High School,Married,35,3056,88404,Truck,0
28,Male,99148,Student,843,3,No,Rent,PhD,Married,9,2361,21156,Sedan,1
33,Male,103186,Student,745,5,Yes,Own,High School,Married,35,2366,86836,SUV,1
50,Female,46745,Doctor,373,4,No,Rent,PhD,Single,11,4547,51481,Truck,0
26,Male,51890,Doctor,309,5,No,Rent,Bachelor,Married,44,3675,14435,Hatchback,0
23,Male,40022,Student,783,1,No,Rent,Master,Married,12,1598,70650,Truck,1
33,Male,143629,Student,755,3,No,Rent,Bachelor,Single,3,2234,47336,Sedan,1
46,Female,72579,Business,459,1,No,Rent,High School,Single,39,3916,37135,SUV,1
20,Male,90316,Teacher,313,1,No,Own,Bachelor,Married,14,1180,74631,Truck,1
37,Female,103847,Doctor,477,6,No,Rent,Master,Married,28,2570,38909,Sedan,1
53,Male,48380,Teacher,711,2,No,Own,Bachelor,Single,11,2229,70487,Truck,1
36,Female,130198,Business,352,6,No,Own,Master,Single,39,2691,22468,Truck,1
43,Female,22356,Student,707,3,No,Own,Master,Single,25,1167,93609,SUV,1
20,Male,90326,Manager,321,1,No,Own,Bachelor,Married,21,2112,48655,Hatchback,1
36,Female,112447,Teacher,329,4,Yes,Own,PhD,Married,10,1180,35341,Hatchback,1
37,Male,134994,Student,559,1,No,Own,High School,Single,43,1472,65182,Sedan,1
49,Female,109899,Student,504,4,No,Rent,PhD,Married,15,3346,52786,Sedan,1
24,Male,40049,Engineer,358,6,No,Rent,PhD,Single,19,2632,69304,Sedan,0
58,Male,95717,Teacher,770,6,Yes,Rent,Bachelor,Married,48,2963,47514,SUV,1
50,Female,125361,Manager,765,2,No,Own,High School,Single,22,3029,34979,Hatchback,1
57,Male,36082,Teacher,311,1,Yes,Rent,High School,Single,21,3003,91887,Sedan,0
56,Male,20661,Student,589,5,No,Rent,PhD,Married,44,4892,81981,Sedan,0
35,Female,57412,Manager,653,6,No,Rent,Bachelor,Married,32,3683,56107,Truck,1
57,Male,134015,Business,374,6,Yes,Own,High School,Married,23,4533,2160,Truck,0
18,Male,143191,Engineer,740,2,No,Rent,PhD,Married,13,3667,88897,Sedan,1
28,Female,22920,Student,540,4,Yes,Own,High School,Married,5,3497,73577,Truck,0
45,Female,111194,Doctor,453,2,Yes,Rent,Bachelor,Married,4,3727,85303,Truck,1
42,Male,134306,Doctor,395,1,No,Own,Bachelor,Single,28,2652,11846,Truck,1
40,Male,80315,Engineer,593,3,No,Own,Bachelor,Married,14,2228,20924,SUV,1
48,Female,99561,Business,508,3,No,Own,High School,Single,8,2524,14882,Sedan,1
47,Female,28946,Student,642,4,No,Rent,Master,Single,9,829,81274,Sedan,0
59,Male,114242,Teacher,387,6,Yes,Rent,High School,Married,35,2986,87555,Truck,1
52,Female,65500,Engineer,689,4,Yes,Own,Master,Single,37,1655,2095,SUV,1
24,Male,124540,Business,624,6,No,Rent,Bachelor,Single,21,2390,41983,Truck,1
33,Male,36309,Teacher,456,6,Yes,Own,PhD,Married,18,4977,15123,SUV,0
43,Male,75230,Doctor,436,3,Yes,Own,Master,Married,33,2685,94668,Sedan,1
19,Male,131822,Doctor,727,4,No,Rent,Bachelor,Married,8,2817,67615,Truck,1
18,Male,118656,Teacher,751,2,Yes,Rent,Bachelor,Single,49,4121,96193,Sedan,1
29,Female,143782,Engineer,440,6,Yes,Rent,Master,Married,17,4991,46278,SUV,1
22,Female,50027,Doctor,382,5,No,Own,PhD,Married,43,3011,98911,Hatchback,0
54,Female,146768,Student,476,5,Yes,Own,Bachelor,Married,31,949,91290,SUV,1
49,Female,92541,Manager,497,2,No,Rent,Master,Married,34,1854,52999,Hatchback,1
26,Male,132340,Teacher,720,5,Yes,Own,PhD,Single,6,1793,32153,Sedan,1
58,Male,134846,Teacher,700,1,No,Rent,PhD,Married,22,2965,19344,Sedan,1
52,Male,79321,Doctor,770,6,Yes,Own,Bachelor,Single,14,3602,38656,Truck,1
36,Male,20956,Engineer,517,2,Yes,Rent,High School,Married,3,2349,71515,Hatchback,0
33,Female,120375,Student,474,4,No,Rent,High School,Single,12,3675,2212,SUV,0
20,Male,94131,Engineer,322,6,No,Own,Bachelor,Single,36,4781,10001,Sedan,0
37,Male,67908,Business,534,2,No,Rent,PhD,Single,12,3699,79784,Hatchback,0
41,Female,98339,Business,312,3,No,Rent,Bachelor,Married,45,1733,99723,SUV,1
50,Female,145659,Manager,400,4,Yes,Own,Master,Single,2,1937,82144,Hatchback,1
41,Female,45963,Doctor,835,3,Yes,Rent,High School,Married,2,3852,37427,SUV,1
28,Female,121757,Doctor,822,6,Yes,Own,Master,Married,15,4530,32368,SUV,1
25,Male,59443,Doctor,751,4,No,Rent,Bachelor,Married,23,752,71819,SUV,1
53,Male,119259,Manager,730,5,Yes,Own,Bachelor,Married,29,518,62160,SUV,1
55,Female,59063,Business,832,2,Yes,Rent,PhD,Married,17,3259,26854,Hatchback,1
57,Male,134225,Engineer,592,6,No,Rent,PhD,Single,32,722,11715,Hatchback,0
37,Male,136400,Manager,400,1,No,Rent,PhD,Married,7,502,82701,Truck,1
52,Male,100818,Manager,801,4,Yes,Rent,Master,Single,30,1759,59784,Hatchback,1
42,Female,24703,Engineer,603,4,No,Own,PhD,Single,28,4823,27797,Hatchback,0
52,Male,85128,Doctor,839,6,Yes,Own,Bachelor,Single,14,3068,48573,Truck,1
42,Female,92099,Student,654,6,Yes,Own,PhD,Single,44,2385,77120,Hatchback,1
46,Male,45849,Engineer,602,3,No,Own,High School,Single,30,1799,15780,SUV,0
35,Male,51860,Business,795,5,Yes,Own,PhD,Single,17,2838,38905,Sedan,1
63,Male,51585,Teacher,526,3,No,Own,Master,Single,32,1576,22573,Sedan,1
35,Female,42015,Teacher,535,3,No,Own,High School,Married,46,4258,34359,Truck,0
19,Male,97539,Manager,754,5,Yes,Rent,High School,Single,6,3681,67062,Hatchback,1
52,Female,63585,Teacher,312,1,Yes,Rent,High School,Married,24,1447,74391,Hatchback,0
33,Female,46958,Student,509,3,Yes,Rent,Master,Single,6,4238,44463,Truck,0
58,Female,46017,Doctor,696,3,No,Rent,Bachelor,Single,27,3231,96018,Sedan,1
53,Male,96707,Business,399,4,Yes,Own,PhD,Single,18,4507,17571,SUV,0
50,Male,144677,Student,330,5,No,Own,High School,Single,24,1369,98276,Hatchback,1
21,Male,65350,Business,827,2,No,Own,High School,Married,37,593,20142,Truck,1
50,Male,32201,Business,628,1,Yes,Rent,High School,Married,24,3487,26104,SUV,0
31,Female,49426,Doctor,465,1,No,Own,Bachelor,Married,38,2275,9625,Truck,0
38,Female,37778,Manager,758,5,Yes,Rent,Bachelor,Single,34,2760,40199,Truck,1
37,Female,65241,Teacher,399,6,Yes,Own,Master,Single,40,935,16926,Truck,0
25,Male,62229,Doctor,472,6,Yes,Own,Bachelor,Single,47,4800,32218,Sedan,0
24,Female,106652,Student,461,4,Yes,Own,PhD,Married,15,3644,45472,Sedan,1
20,Male,148267,Manager,562,4,Yes,Own,Master,Single,11,4087,92916,Truck,1
34,Female,138402,Student,573,5,Yes,Rent,Master,Married,22,576,21566,Hatchback,1
50,Male,68364,Manager,302,4,Yes,Rent,PhD,Married,24,1315,57125,SUV,0
29,Male,118833,Student,327,1,No,Own,PhD,Single,1,1267,34205,Hatchback,1
